Pais,id_sede,red_social,url
Algeria,EARGE,facebook,facebook.com/ArgentinaEnArgelia
Algeria,EARGE,instagram,https://instagram.com/argenargelia
Algeria,EARGE,twitter,https://twitter.com/ARGenArgelia
Angola,EANGO,facebook,https://www.facebook.com/ArgentinaEnAngola/
Angola,EANGO,instagram,https://www.instagram.com/embargentinaenangola/
Armenia,EARME,facebook,https://www.facebook.com/ArgentinaEnArmenia
Armenia,EARME,instagram,https://www.instagram.com/arginarmenia/
Armenia,EARME,twitter,https://twitter.com/ARGinArmenia
Australia,CSIDN,facebook,https://www.facebook.com/ArgentinaEnSidney/
Australia,EAUST,facebook,https://www.facebook.com/ArgentinaEnAustralia/
Australia,EAUST,twitter,https://twitter.com/ARGinAustralia
Austria,ETRIA,facebook,https://www.facebook.com/ArgentinaEnAustria/
Austria,ETRIA,instagram,https://www.instagram.com/argenviena/
Austria,ETRIA,twitter,https://twitter.com/ARGenViena
Azerbaijan,EAZER,facebook,https://www.facebook.com/EmbassyOfArgentina/
Azerbaijan,EAZER,instagram,www.instagram.com/embargentinaaz
Azerbaijan,EAZER,twitter,www.twitter.com/ARGEnAzer
Barbados,EBARB,facebook,https://www.facebook.com/ArgentinaEnBarbados/
Belgium,EBELG,facebook,https://www.facebook.com/ArgentinaEnBelgica/
Belgium,EBELG,instagram,https://www.instagram.com/argenbelgica/
Belgium,ECEUR,facebook,https://www.facebook.com/ARGanteUE
Belgium,ECEUR,flickr,https://www.flickr.com/people/197084220@N02/
Belgium,ECEUR,linkedin,https://www.linkedin.com/company/arganteue
Belgium,ECEUR,twitter,https://twitter.com/ARGanteUE
Belgium,ECEUR,youtube,https://www.youtube.com/@ARGanteUE
Bolivia,CCOCH,facebook,wwww.facebook.com/ArgentinaEnCochabamba
Bolivia,CSCRS,desconocido,cscrs2018
Bolivia,CSCRS,facebook,www.facebook.com/ArgEnSantaCruz  de  la  Sierra
Bolivia,CVILL,facebook,https://www.facebook.com/ArgEnVillazon
Bolivia,EBOLV,desconocido,@EmbaArgBolivia
Bolivia,EBOLV,desconocido,@EmbajadaArgentinaBolivia
Bolivia,EBOLV,desconocido,@embajada_argentina_en_bolivia
Brazil,CALEG,facebook,https://www.facebook.com/ArgentinaEnPortoAlegre/
Brazil,CALEG,instagram,https://www.instagram.com/argenportoalegre/
Brazil,CALEG,twitter,https://twitter.com/ArgPortoAlegre
Brazil,CBELO,facebook,https://www.facebook.com/ArgentinaEnBeloHorizonte/
Brazil,CBELO,instagram,https://www.instagram.com/consgralbelo/
Brazil,CBELO,twitter,https://twitter.com/consgralbelo
Brazil,CCURI,facebook,https://www.facebook.com/ArgEnCuritiba/
Brazil,CCURI,instagram,https://instagram.com/argEncuritiba
Brazil,CCURI,twitter,https://twitter.com/ARGenCuri
Brazil,CFDIG,facebook,https://www.facebook.com/ArgentinaEnFozDeIguazu
Brazil,CFDIG,instagram,https://www.instagram.com/argentinaenfoz/
Brazil,CFDIG,twitter,https://twitter.com/argentinaenfoz
Brazil,CFLOR,desconocido,@argenflorianopolis
Brazil,CFLOR,facebook,https://www.facebook.com/cflor.mrecic.gov.ar
Brazil,CPABL,desconocido,consuladoargentinosp@gmail.com
Brazil,CRECI,facebook,https://www.facebook.com/ArgentinaEnBrasilRecife
Brazil,CRECI,instagram,https://www.instagram.com/consuladoargentinorecife
Brazil,CRIOJ,facebook,https://www.facebook.com/ArgentinaEnRiodeJaneiro/
Brazil,CSBAH,facebook,https://www.facebook.com/ArgentinaenSalvador
Brazil,CSBAH,instagram,https://www.instagram.com/argentinaensalvador
Brazil,CSBAH,twitter,https://twitter.com/ArgentinaEnSSA
Brazil,CURUG,facebook,https://www.facebook.com/ArgEnUruguayana/
Brazil,CURUG,twitter,https://twitter.com/CURUGoK
Brazil,EBRAS,facebook,https://www.facebook.com/embargbrasil
Brazil,EBRAS,instagram,https://www.instagram.com/embaargenbrasil
Brazil,EBRAS,twitter,https://twitter.com/ArgentinaEnBras
Bulgaria,EBULG,facebook,https://www.facebook.com/ArgentinaEnBulgaria/
Bulgaria,EBULG,youtube,https://www.youtube.com/channel/UCK-uSxN84lEMqJwCviEjZow
Canada,CTORO,facebook,https://www.facebook.com/ArgentinaEnToronto/
Canada,CTORO,instagram,https://www.instagram.com/consuladoargtoronto/
Canada,ECANA,facebook,https://www.facebook.com/ArgentinaInCanada
Canada,ECANA,instagram,https://www.instagram.com/argentinaincanada/
Canada,ECANA,linkedin,https://www.linkedin.com/company/argentinaincanada
Canada,ECANA,twitter,https://twitter.com/ArginCanada
Canada,ECANA,youtube,https://www.youtube.com/channel/UC77DGXZ2ppExRtV4WS4IV-A
Chile,CANTO,facebook,https://www.facebook.com/Consulado-de-la-Rep%C3%BAblica-Argentina-en-Antofagasta-255728465291743/
Chile,CAREN,facebook,https://www.facebook.com/profile.php?id=100014152878593
Chile,CPMON,facebook,https://www.facebook.com/ArgentinaEnPuertoMontt/
Chile,CVALP,facebook,https://www.facebook.com/ArgentinaEnValparaiso
Chile,EHILE,facebook,https://www.facebook.com/EmbArgentinaEnChile
Chile,EHILE,instagram,https://www.instagram.com/embargenchile/
Chile,EHILE,twitter,https://twitter.com/EmbArgEnChile
China,ECHIN,desconocido,@ArgentinaEnChina
Colombia,ECOLO,desconocido,@ArgColombia
Colombia,ECOLO,desconocido,argentinaencolombia
Colombia,ECOLO,facebook,https://www.facebook.com/ArgColombia/?ref=bookmarks
Costa Rica,ERICA,facebook,https://www.facebook.com/argentinaencostarica/
Cuba,ECUBA,facebook,https://www.facebook.com/ArgentinaEnCubaLaHabana/
Czechia,ECHES,facebook,https://www.facebook.com/ArgentinaEnRepCheca/
Czechia,ECHES,instagram,https://www.instagram.com/argentinaenpraga
Denmark,EDINA,facebook,https://www.facebook.com/EmbajadadeArgentinaenDinamarca/
Dominican Republic,EDOMI,facebook,https://es-la.facebook.com/ArgentinaEnRepublicaDominicana/
Ecuador,EECUA,facebook,https://www.facebook.com/Argentina-en-Ecuador-772092829594964/?ref=bookmarks
Ecuador,EECUA,instagram,https://instagram.com/argentinaenecuador?igshid=1pzlw4ojakxjh
Ecuador,EECUA,youtube,https://www.youtube.com/channel/UC7FnoaJNif8jQLyBb4QDKng
"Egypt, Arab Rep.",EEGIP,facebook,facebook.com/ArgentinaenEgipto
"Egypt, Arab Rep.",EEGIP,instagram,instagram.com/argenegipto/
"Egypt, Arab Rep.",EEGIP,twitter,twitter.com/ARGenEgipto
El Salvador,ESALV,facebook,https://www.facebook.com/ArgentinaEnElSalvador/
El Salvador,ESALV,instagram,https://www.instagram.com/embargenelsalvador/
El Salvador,ESALV,twitter,https://twitter.com/ARGenElSalvador
Ethiopia,EETIO,desconocido,@ArEthiopia
Ethiopia,EETIO,facebook,https://www.facebook.com/ArgEnEtiopia/
Ethiopia,EETIO,instagram,https://www.instagram.com/embaargenetiopia/
Finland,EFINL,facebook,www.facebook.com/ArgentinaEnFinlandia/
Finland,EFINL,instagram,www.instagram.com/argenfinlandia/
France,EFRAN,facebook,https://www.facebook.com/ArgentinaEnFrancia/
France,EUNES,facebook,https://www.facebook.com/delegation.argentine/
France,EUNES,twitter,https://twitter.com/ArgentinaUNESCO
